sale_id,product_id,customer_id,units,date
1,103,453,5,2023-01-01 00:00:00
2,49,219,19,2023-01-01 01:00:00
3,86,291,16,2023-01-01 02:00:00
4,159,81,9,2023-01-01 03:00:00
5,27,401,2,2023-01-01 04:00:00
6,117,499,12,2023-01-01 05:00:00
7,71,264,6,2023-01-01 06:00:00
8,178,55,8,2023-01-01 07:00:00
9,19,373,8,2023-01-01 08:00:00
10,195,357,1,2023-01-01 09:00:00
11,50,244,7,2023-01-01 10:00:00
12,49,402,5,2023-01-01 11:00:00
13,19,448,18,2023-01-01 12:00:00
14,197,202,3,2023-01-01 13:00:00
15,122,39,11,2023-01-01 14:00:00
16,63,460,18,2023-01-01 15:00:00
17,114,274,6,2023-01-01 16:00:00
18,141,483,7,2023-01-01 17:00:00
19,103,237,10,2023-01-01 18:00:00
20,49,59,19,2023-01-01 19:00:00
21,182,394,10,2023-01-01 20:00:00
22,193,40,17,2023-01-01 21:00:00
23,80,319,2,2023-01-01 22:00:00
24,119,311,12,2023-01-01 23:00:00
25,47,323,8,2023-01-02 00:00:00
26,94,63,18,2023-01-02 01:00:00
27,77,359,11,2023-01-02 02:00:00
28,75,249,14,2023-01-02 03:00:00
29,71,279,3,2023-01-02 04:00:00
30,84,344,2,2023-01-02 05:00:00
31,14,48,13,2023-01-02 06:00:00
32,71,294,8,2023-01-02 07:00:00
33,112,82,18,2023-01-02 08:00:00
34,128,339,14,2023-01-02 09:00:00
35,10,482,5,2023-01-02 10:00:00
36,17,426,8,2023-01-02 11:00:00
37,101,439,13,2023-01-02 12:00:00
38,176,309,4,2023-01-02 13:00:00
39,28,262,17,2023-01-02 14:00:00
40,37,490,5,2023-01-02 15:00:00
41,176,86,2,2023-01-02 16:00:00
42,66,360,8,2023-01-02 17:00:00
43,157,478,12,2023-01-02 18:00:00
44,19,44,12,2023-01-02 19:00:00
45,54,360,14,2023-01-02 20:00:00
46,20,103,19,2023-01-02 21:00:00
47,38,64,18,2023-01-02 22:00:00
48,126,17,6,2023-01-02 23:00:00
49,53,451,7,2023-01-03 00:00:00
50,162,148,14,2023-01-03 01:00:00
51,100,69,19,2023-01-03 02:00:00
52,91,162,10,2023-01-03 03:00:00
53,31,383,7,2023-01-03 04:00:00
54,82,130,9,2023-01-03 05:00:00
55,180,208,4,2023-01-03 06:00:00
56,137,9,3,2023-01-03 07:00:00
57,173,124,17,2023-01-03 08:00:00
58,172,388,14,2023-01-03 09:00:00
59,108,452,16,2023-01-03 10:00:00
60,133,146,11,2023-01-03 11:00:00
61,176,309,12,2023-01-03 12:00:00
62,134,72,8,2023-01-03 13:00:00
63,37,463,9,2023-01-03 14:00:00
64,133,200,13,2023-01-03 15:00:00
65,187,47,9,2023-01-03 16:00:00
66,151,496,15,2023-01-03 17:00:00
67,194,407,7,2023-01-03 18:00:00
68,171,303,10,2023-01-03 19:00:00
69,193,328,16,2023-01-03 20:00:00
70,181,345,17,2023-01-03 21:00:00
71,180,288,13,2023-01-03 22:00:00
72,182,352,12,2023-01-03 23:00:00
73,63,456,16,2023-01-04 00:00:00
74,92,127,14,2023-01-04 01:00:00
75,197,95,16,2023-01-04 02:00:00
76,89,151,6,2023-01-04 03:00:00
77,128,74,9,2023-01-04 04:00:00
78,161,338,16,2023-01-04 05:00:00
79,18,372,9,2023-01-04 06:00:00
80,113,288,3,2023-01-04 07:00:00
81,118,324,6,2023-01-04 08:00:00
82,198,302,8,2023-01-04 09:00:00
83,167,164,7,2023-01-04 10:00:00
84,138,60,9,2023-01-04 11:00:00
85,94,341,19,2023-01-04 12:00:00
86,188,153,4,2023-01-04 13:00:00
87,34,398,10,2023-01-04 14:00:00
88,170,379,7,2023-01-04 15:00:00
89,106,162,18,2023-01-04 16:00:00
90,166,226,12,2023-01-04 17:00:00
91,52,118,15,2023-01-04 18:00:00
92,179,110,8,2023-01-04 19:00:00
93,134,370,12,2023-01-04 20:00:00
94,83,33,17,2023-01-04 21:00:00
95,65,92,17,2023-01-04 22:00:00
96,126,154,18,2023-01-04 23:00:00
97,178,466,16,2023-01-05 00:00:00
98,26,119,8,2023-01-05 01:00:00
99,123,398,7,2023-01-05 02:00:00
100,15,154,9,2023-01-05 03:00:00
101,68,139,1,2023-01-05 04:00:00
102,7,76,11,2023-01-05 05:00:00
103,193,309,9,2023-01-05 06:00:00
104,35,437,10,2023-01-05 07:00:00
105,70,440,4,2023-01-05 08:00:00
106,114,65,2,2023-01-05 09:00:00
107,148,119,13,2023-01-05 10:00:00
108,141,412,18,2023-01-05 11:00:00
109,178,321,17,2023-01-05 12:00:00
110,172,487,7,2023-01-05 13:00:00
111,36,87,17,2023-01-05 14:00:00
112,59,303,16,2023-01-05 15:00:00
113,7,429,12,2023-01-05 16:00:00
114,18,348,16,2023-01-05 17:00:00
115,102,400,4,2023-01-05 18:00:00
116,104,282,13,2023-01-05 19:00:00
117,43,197,2,2023-01-05 20:00:00
118,87,93,7,2023-01-05 21:00:00
119,174,457,10,2023-01-05 22:00:00
120,49,42,17,2023-01-05 23:00:00
121,83,447,6,2023-01-06 00:00:00
122,182,72,18,2023-01-06 01:00:00
123,42,474,11,2023-01-06 02:00:00
124,85,217,4,2023-01-06 03:00:00
125,57,53,5,2023-01-06 04:00:00
126,23,363,4,2023-01-06 05:00:00
127,36,472,18,2023-01-06 06:00:00
128,33,340,9,2023-01-06 07:00:00
129,124,51,10,2023-01-06 08:00:00
130,185,117,3,2023-01-06 09:00:00
131,194,77,1,2023-01-06 10:00:00
132,110,5,14,2023-01-06 11:00:00
133,122,455,3,2023-01-06 12:00:00
134,146,480,14,2023-01-06 13:00:00
135,11,449,3,2023-01-06 14:00:00
136,124,284,19,2023-01-06 15:00:00
137,117,140,1,2023-01-06 16:00:00
138,127,363,9,2023-01-06 17:00:00
139,105,319,7,2023-01-06 18:00:00
140,127,248,3,2023-01-06 19:00:00
141,79,20,15,2023-01-06 20:00:00
142,80,409,16,2023-01-06 21:00:00
143,155,36,15,2023-01-06 22:00:00
144,185,362,6,2023-01-06 23:00:00
145,138,368,10,2023-01-07 00:00:00
146,165,291,8,2023-01-07 01:00:00
147,13,60,9,2023-01-07 02:00:00
148,162,53,17,2023-01-07 03:00:00
149,114,184,11,2023-01-07 04:00:00
150,131,442,14,2023-01-07 05:00:00
151,151,327,4,2023-01-07 06:00:00
152,29,488,15,2023-01-07 07:00:00
153,194,103,18,2023-01-07 08:00:00
154,113,291,3,2023-01-07 09:00:00
155,115,173,10,2023-01-07 10:00:00
156,127,87,6,2023-01-07 11:00:00
157,150,397,11,2023-01-07 12:00:00
158,93,64,18,2023-01-07 13:00:00
159,173,4,7,2023-01-07 14:00:00
160,162,445,7,2023-01-07 15:00:00
161,128,310,15,2023-01-07 16:00:00
162,47,422,9,2023-01-07 17:00:00
163,7,499,2,2023-01-07 18:00:00
164,139,484,6,2023-01-07 19:00:00
165,30,170,14,2023-01-07 20:00:00
166,160,115,9,2023-01-07 21:00:00
167,34,308,18,2023-01-07 22:00:00
168,133,59,15,2023-01-07 23:00:00
169,14,246,14,2023-01-08 00:00:00
170,58,477,15,2023-01-08 01:00:00
171,168,162,17,2023-01-08 02:00:00
172,148,116,19,2023-01-08 03:00:00
173,34,470,3,2023-01-08 04:00:00
174,163,254,9,2023-01-08 05:00:00
175,32,56,19,2023-01-08 06:00:00
176,57,75,17,2023-01-08 07:00:00
177,66,242,7,2023-01-08 08:00:00
178,47,203,10,2023-01-08 09:00:00
179,107,140,3,2023-01-08 10:00:00
180,48,164,4,2023-01-08 11:00:00
181,2,138,19,2023-01-08 12:00:00
182,27,470,18,2023-01-08 13:00:00
183,7,185,15,2023-01-08 14:00:00
184,44,110,4,2023-01-08 15:00:00
185,87,153,18,2023-01-08 16:00:00
186,164,319,11,2023-01-08 17:00:00
187,144,273,7,2023-01-08 18:00:00
188,31,110,11,2023-01-08 19:00:00
189,189,285,2,2023-01-08 20:00:00
190,99,96,14,2023-01-08 21:00:00
191,182,135,3,2023-01-08 22:00:00
192,156,67,3,2023-01-08 23:00:00
193,143,339,8,2023-01-09 00:00:00
194,74,64,11,2023-01-09 01:00:00
195,82,163,15,2023-01-09 02:00:00
196,169,44,3,2023-01-09 03:00:00
197,91,388,5,2023-01-09 04:00:00
198,83,96,9,2023-01-09 05:00:00
199,198,12,4,2023-01-09 06:00:00
200,82,170,6,2023-01-09 07:00:00
201,34,495,3,2023-01-09 08:00:00
202,170,172,1,2023-01-09 09:00:00
203,124,429,11,2023-01-09 10:00:00
204,157,130,19,2023-01-09 11:00:00
205,18,79,17,2023-01-09 12:00:00
206,60,203,10,2023-01-09 13:00:00
207,78,69,1,2023-01-09 14:00:00
208,56,128,1,2023-01-09 15:00:00
209,146,81,11,2023-01-09 16:00:00
210,132,36,1,2023-01-09 17:00:00
211,23,492,5,2023-01-09 18:00:00
212,54,257,12,2023-01-09 19:00:00
213,147,291,8,2023-01-09 20:00:00
214,18,57,11,2023-01-09 21:00:00
215,21,315,8,2023-01-09 22:00:00
216,158,242,16,2023-01-09 23:00:00
217,2,155,11,2023-01-10 00:00:00
218,194,388,14,2023-01-10 01:00:00
219,90,133,7,2023-01-10 02:00:00
220,78,215,7,2023-01-10 03:00:00
221,98,82,1,2023-01-10 04:00:00
222,7,425,15,2023-01-10 05:00:00
223,103,132,12,2023-01-10 06:00:00
224,199,34,3,2023-01-10 07:00:00
225,61,164,18,2023-01-10 08:00:00
226,113,62,16,2023-01-10 09:00:00
227,129,351,1,2023-01-10 10:00:00
228,55,211,4,2023-01-10 11:00:00
229,197,344,19,2023-01-10 12:00:00
230,81,358,13,2023-01-10 13:00:00
231,56,118,9,2023-01-10 14:00:00
232,103,429,10,2023-01-10 15:00:00
233,13,248,4,2023-01-10 16:00:00
234,151,291,9,2023-01-10 17:00:00
235,149,95,12,2023-01-10 18:00:00
236,196,195,8,2023-01-10 19:00:00
237,17,9,6,2023-01-10 20:00:00
238,128,466,14,2023-01-10 21:00:00
239,172,107,10,2023-01-10 22:00:00
240,23,411,3,2023-01-10 23:00:00
241,142,8,18,2023-01-11 00:00:00
242,109,349,7,2023-01-11 01:00:00
243,103,395,6,2023-01-11 02:00:00
244,11,496,8,2023-01-11 03:00:00
245,8,257,12,2023-01-11 04:00:00
246,45,334,4,2023-01-11 05:00:00
247,110,266,13,2023-01-11 06:00:00
248,127,126,3,2023-01-11 07:00:00
249,44,306,18,2023-01-11 08:00:00
250,68,465,11,2023-01-11 09:00:00
251,8,92,17,2023-01-11 10:00:00
252,20,17,17,2023-01-11 11:00:00
253,34,360,2,2023-01-11 12:00:00
254,59,7,15,2023-01-11 13:00:00
255,180,324,15,2023-01-11 14:00:00
256,129,39,7,2023-01-11 15:00:00
257,35,450,16,2023-01-11 16:00:00
258,81,110,2,2023-01-11 17:00:00
259,71,426,10,2023-01-11 18:00:00
260,162,379,13,2023-01-11 19:00:00
261,86,206,6,2023-01-11 20:00:00
262,16,394,1,2023-01-11 21:00:00
263,126,139,15,2023-01-11 22:00:00
264,183,256,18,2023-01-11 23:00:00
265,52,354,5,2023-01-12 00:00:00
266,184,178,10,2023-01-12 01:00:00
267,189,292,12,2023-01-12 02:00:00
268,76,469,2,2023-01-12 03:00:00
269,104,114,12,2023-01-12 04:00:00
270,75,86,9,2023-01-12 05:00:00
271,51,199,13,2023-01-12 06:00:00
272,83,34,13,2023-01-12 07:00:00
273,132,444,18,2023-01-12 08:00:00
274,53,442,17,2023-01-12 09:00:00
275,28,99,7,2023-01-12 10:00:00
276,168,332,11,2023-01-12 11:00:00
277,28,103,10,2023-01-12 12:00:00
278,12,242,10,2023-01-12 13:00:00
279,104,36,18,2023-01-12 14:00:00
280,75,226,18,2023-01-12 15:00:00
281,98,307,12,2023-01-12 16:00:00
282,172,311,10,2023-01-12 17:00:00
283,177,287,3,2023-01-12 18:00:00
284,77,381,12,2023-01-12 19:00:00
285,51,10,4,2023-01-12 20:00:00
286,75,4,8,2023-01-12 21:00:00
287,101,137,12,2023-01-12 22:00:00
288,181,26,9,2023-01-12 23:00:00
289,191,106,14,2023-01-13 00:00:00
290,195,180,1,2023-01-13 01:00:00
291,140,176,16,2023-01-13 02:00:00
292,192,8,6,2023-01-13 03:00:00
293,35,182,18,2023-01-13 04:00:00
294,159,394,8,2023-01-13 05:00:00
295,138,175,19,2023-01-13 06:00:00
296,8,235,19,2023-01-13 07:00:00
297,139,118,15,2023-01-13 08:00:00
298,36,471,14,2023-01-13 09:00:00
299,18,483,16,2023-01-13 10:00:00
300,165,272,2,2023-01-13 11:00:00
301,10,409,19,2023-01-13 12:00:00
302,110,436,12,2023-01-13 13:00:00
303,16,227,14,2023-01-13 14:00:00
304,126,175,15,2023-01-13 15:00:00
305,149,429,12,2023-01-13 16:00:00
306,117,490,18,2023-01-13 17:00:00
307,167,288,13,2023-01-13 18:00:00
308,67,120,11,2023-01-13 19:00:00
309,85,172,14,2023-01-13 20:00:00
310,99,486,1,2023-01-13 21:00:00
311,171,285,10,2023-01-13 22:00:00
312,162,68,7,2023-01-13 23:00:00
313,76,417,13,2023-01-14 00:00:00
314,151,460,16,2023-01-14 01:00:00
315,16,167,17,2023-01-14 02:00:00
316,58,169,18,2023-01-14 03:00:00
317,59,268,8,2023-01-14 04:00:00
318,170,380,6,2023-01-14 05:00:00
319,106,235,12,2023-01-14 06:00:00
320,171,276,11,2023-01-14 07:00:00
321,117,389,9,2023-01-14 08:00:00
322,144,155,18,2023-01-14 09:00:00
323,85,196,11,2023-01-14 10:00:00
324,26,311,14,2023-01-14 11:00:00
325,67,393,14,2023-01-14 12:00:00
326,149,353,19,2023-01-14 13:00:00
327,103,88,9,2023-01-14 14:00:00
328,35,15,7,2023-01-14 15:00:00
329,21,239,2,2023-01-14 16:00:00
330,104,264,7,2023-01-14 17:00:00
331,153,205,19,2023-01-14 18:00:00
332,57,158,6,2023-01-14 19:00:00
333,147,117,6,2023-01-14 20:00:00
334,120,164,14,2023-01-14 21:00:00
335,178,109,5,2023-01-14 22:00:00
336,197,129,1,2023-01-14 23:00:00
337,166,57,2,2023-01-15 00:00:00
338,96,271,13,2023-01-15 01:00:00
339,130,313,16,2023-01-15 02:00:00
340,46,149,19,2023-01-15 03:00:00
341,51,384,7,2023-01-15 04:00:00
342,34,128,14,2023-01-15 05:00:00
343,88,219,9,2023-01-15 06:00:00
344,190,370,1,2023-01-15 07:00:00
345,53,497,1,2023-01-15 08:00:00
346,20,391,7,2023-01-15 09:00:00
347,73,253,18,2023-01-15 10:00:00
348,159,144,2,2023-01-15 11:00:00
349,33,50,15,2023-01-15 12:00:00
350,5,398,1,2023-01-15 13:00:00
351,163,233,14,2023-01-15 14:00:00
352,115,147,14,2023-01-15 15:00:00
353,195,35,9,2023-01-15 16:00:00
354,164,422,5,2023-01-15 17:00:00
355,117,335,7,2023-01-15 18:00:00
356,7,183,18,2023-01-15 19:00:00
357,116,488,19,2023-01-15 20:00:00
358,123,231,14,2023-01-15 21:00:00
359,2,294,12,2023-01-15 22:00:00
360,17,2,1,2023-01-15 23:00:00
361,158,410,6,2023-01-16 00:00:00
362,80,12,11,2023-01-16 01:00:00
363,172,165,6,2023-01-16 02:00:00
364,29,57,7,2023-01-16 03:00:00
365,81,124,15,2023-01-16 04:00:00
366,131,362,5,2023-01-16 05:00:00
367,173,455,5,2023-01-16 06:00:00
368,172,320,14,2023-01-16 07:00:00
369,110,497,4,2023-01-16 08:00:00
370,5,460,18,2023-01-16 09:00:00
371,80,460,16,2023-01-16 10:00:00
372,111,352,6,2023-01-16 11:00:00
373,126,41,7,2023-01-16 12:00:00
374,157,90,9,2023-01-16 13:00:00
375,21,452,2,2023-01-16 14:00:00
376,144,90,18,2023-01-16 15:00:00
377,126,448,11,2023-01-16 16:00:00
378,26,417,14,2023-01-16 17:00:00
379,28,324,11,2023-01-16 18:00:00
380,74,226,16,2023-01-16 19:00:00
381,131,167,6,2023-01-16 20:00:00
